track_name,album_name,valence,energy,speechiness,loudness,tempo,album_release_year,lyrics,duration_ms
Congratulations (feat. Bilal),The Divine Feminine,0.207,0.225,0.0455,-12.637,57.75,2016,"Oh
The Divine Feminine, an album by Mac Miller
(The Divine Feminine)
Oh
Love
Love, love, love, love (sex)
Love, love, love, love (sex)
This one don't frown when I'm the wrong
I lose my mind and I lose control
I see your eyes look through my soul
Don't be surprised this all I know
I felt the highs and they felt like you
See a love like mine is too good to be true
And you too divine to just be mine
You remind me of the color blue
Girl I'm so in love with you
Girl I'm so in love with you
Yeah, yeah
Baby you were everything I ever wanted
Bottle, wedding ring it's in my pocket
Planned to ask the other day
Knew you'd run away
So I guess I just forgot it
Remember when you went away to college
I was on the phone, we ain't no talkin'
Past, present, future, all the gossip, God damn
Puppy love ain't what it was darlin'
Feelings that we have are so alarmin'
I can make you laugh
I can break the glass
If we made it last, it'd be a bargin
Mr. Charmin' that is my department
You was there before the fancy cars and
You was there when I was just a starvin' artist
When the car was havin' trouble startin'
Now we got our own apartment, same box for the mail
Same hemp for the laundry, the food in the fridge is stale
And this mornin' you cooked the eggs with the kale
I tried to hit it while you was gettin' dressed
You said ""all you ever think about is sex""
I'm like oh well
You know me so well
And if this will make you lay I swear I won't tell
And every time I call your phone you better pick up your cell
I swear to God I'ma freak out if it go straight to voice mail
Well I'm the jealous type
But I swear that ass what Heaven's like
When I'm in that pussy it's a better life
That's the only way I'm tryna end the night
That's my only chance, I better get it right
Take your time my baby
Cause I'm waitin' for you, for you
I know I make your mind go crazy
But yes I'm waitin' right here for you, for you
You get closer with me run away
All I ever know is the color gray
Your loving ways bring me sunshine
I found an angel so divine
Heaven probably not the same without you
But now you're in my world
In my world, ah
Ah",256426
Dang! (feat. Anderson .Paak),The Divine Feminine,0.556,0.67,0.23,-6.907,107.018,2016,"Yeah
Yeah
I can't keep on losing you
Over complications
Gone too soon
Wait, we was just hangin'
I can't seem to hold onto
Dang
The people that know me best
The key that I won't forget
Too soon
I can't keep on losing you
I can't keep on losing you
How many mistakes do it take 'til you leave
And I'm left with my hand on my face
All red in the face, lookin' at you like (wait)
I know I ain't a saint, if it ain't too late, well
(I can't keep on losing you)
Don't run away so fast
Know my heart like gold, but it break like glass
Know my shit get old and I act so young
Baby, you so cold, never have no sun
You don't wanna grow up, yeah, that shit no fun
So when I get home, I'ma give you some
Make you feel like, (woo) when I hit that drum
Yeah, the dick ain't free, I don't give no fucks
Yeah, it's complicated, got you frustrated
Get home late and you don't trust me, baby
Way too drunk, you don't know what I'm sayin'
You can drive my car, don't drive me crazy
Complicated, got you frustrated
Every single night I keep you waitin'
You say you don't care, that's what you sayin'?
We both know that's some bullshit
Okay, we be fightin', we be reunitin'
Kiss me, touch me, tease me, me excited
God, the devil, who is who?
Tryna get through to you because
I can't keep on losing you
Over complications
Gone too soon
Wait, we was just hangin'
I can't seem to hold onto
Dang
The people that know me best
The key that I won't forget
Too soon
I can't keep on losing you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
You can't go away, girl, I'ma need you
Play your games like they my ticket to an Ivy League school
Won't get Hall of Fame dick from a Minor League dude
I just eat pussy, other people need food
Only got a little time and I ain't tryna spend it
Arguin' about who ain't givin' who attention
Startin' up the engine, need to reboot
I just eat pussy, other people need food
And I use every bone in my body
Keep on holdin' onto your trust
I know you don't want nothin' to do with me
But just one more time, let's make love
One more time, it ain't much
Fuck 'em all, let's be us
Summer's soft sweetness
Call late drunk, you hang up
What a mess I made up, sense, I make none
It's complicated, keepin' me up late
Can't concentrate, you're always on my brain
If it's love, then why the fuck it come with pain?
I just think that's some bullshit
Okay, it seem invitin', trust me, she's a titan
This week she like him, next week they fightin'
Need protection, all your dresses bulletproof
You're safe with me, girl
I can't keep on losing you
Where the hell you goin'?
Where you takin' this trip to?
Wait
Don't move, don't stay, too
I can't keep on losing you
Where the hell you goin'?
Wait!
Where the hell you goin'?
I can't keep on losing you
Over complications
Gone too soon
Wait, we was just hangin'
I can't seem to hold onto
Dang
The people that know me best
The key that I won't forget
Too soon
I can't keep on losing you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Can't keep losin' you
Woo",305350
Stay,The Divine Feminine,0.55,0.561,0.139,-7.017,134.01,2016,"Whoa whoa whoa whoa whoa
Whoa whoa, whoa whoa
Whoa whoa whoa whoa whoa
Whoa whoa, whoa whoa
Whoa whoa whoa whoa whoa whoa whoa whoa whoa
Whoa whoa, whoa whoa
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a little while
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a, just a little while
Yeah, hold up, wait a motherfuckin' second
I know you stressin', you don't gotta keep me guessin'
I'm full of questions, in return I get the silent treatment
I don't know why I'm speakin'
You say, you say, you say
It's way too late, goodbye, you leavin'
Why you got me stressin'?
I could have a whole collection
Just be faded in my own dimension
You so complicated, I swear that pussy Grammy nominated
Let's make some music, fuck all of the bullshit
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a little while
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a, just a little while
Okay now, baby, don't you leave my side, don't even try
I'mma go crazy, girl, you saved me
Meditate me, get me piece of mind
It's only she and I, ocean floor, how deep we dive
We be high lookin' for another fuckin' tree to climb
She was playin' hard to get, I read between her lines
Binge watched ""Sopranos"", made it all the way to season five
I am her, she is I
She had to come, see her freaky side, leavin' me behind
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a little while
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a, just a little while
Just a little while, just a little while, babe
The way you walkin' to the room, oh oh oh
All I think about is what I wanna do to you
I don't wanna be polite no more
Make yourself at home, where the fuck you gon' go?
Yeah, girl, the way you walkin' to the room, oh oh oh
All I think about is what I wanna do to you
I don't wanna be polite no more
Make yourself at home, where the fuck you gon' go, girl?
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a little while
Will, you, stay, just a little while, babe?
(The way you walkin' to the room, oh oh oh
All I think about is what I wanna do to you)
Just a little while, just a little while, just a, just a little while
(I don't wanna be polite no more
Make yourself at home, where the fuck you gon' go?)
Will, you, stay, just a little while, babe?
((The way you walkin' to the room, oh oh oh
All I think about is what I wanna do to you)
Just a little while, just a little while, just a little while
(I don't wanna be polite no more
Make yourself at home, where the fuck you gon' go?)
Will, you, stay, just a little while, babe?
Just a little while, just a little while, just a, just a little while
Will you
Will you
Will you",326426
Skin,The Divine Feminine,0.481,0.591,0.0651,-6.919,120.04,2016,"Ha-ha-ha-ha-ha-ha
Ha-ha-ha-ha-ha-ha
Ha-ha-ha-ha-ha-ha
Ha-ha-ha-ha-ha-ha
Ha-ha-ha-ha-ha-ha
You hide your skin like you're shy or there's something wrong
You stylish when you got nothin' on, yeah
And all I do is make these fuckin' songs
So finally I made a fuckin' song
And now she comin' closer
Hope she crawls, she wanna jump my bones
You want it don't ya?
I was a soldier, now I'm comin' home, the war is over
Kick down the door, I hold your bends, you never break
You need to smell your sweet aroma
See I knows you smell like cinnamon, kissin' your lips
I lick my fingertips and get your clitoris in the mix
My dick on business trips
My tongue twistin' is ticklin' just a little bit
I'm swimmin' inside of your skin like a river
In the Caribbean
It's okay that you like it babe (I like it baby)
And it's alright that you misbehave
It's okay to be this way (this way)
To live this way baby baby (ooh baby)
Chillin' with the AC
That's just the way that we are
You and me, super freaks here we are
I'm takin' care of each and every part
I opened up your legs and go straight for your heart
Said I'm too divine, I'm too divine yeah, too divine
Who am I? Well, I'm Mr. Superfly
I'm Mr. Blew your, blew your mind, hot as June, July
I wanna make you waterfall
Girl you my painting, you my art installation
Gonna fuck you, put you on the wall
All I wanna do is show you off, I want to put you on
Why would I ever blow you off?
Right now, let's go get lost
Just I've been way too hot for way too long
I'm so exhausted
Whether that's your mind or line we still get crossed
First your name is gone
Never understand until you have to stand alone
Can I have a hand to hold?
A Band-Aid for my damaged soul, I paint the planet gold
I swear I'm Michelangelo, I don't understand you so
They didn't want a man when he was down and broke
But now they know me and what I don't need
No Six, no Beamers, no Benz
That's just the way that we are
You and me, super freaks here we are
I'm takin' care of each and every part
I opened up your legs and go straight for your heart
These hoes
These hoes
Taste this, taste, taste this
These hoes
Taste this, taste, taste this
These hoes",287906
Cinderella (feat. Ty Dolla $ign),The Divine Feminine,0.24,0.534,0.047,-6.874,140.021,2016,"Oh no, no, no, no, no, no, no, no, no
Ayy
I been waitin' all night for this moment
I been waitin' all year for this moment
I been picturing you takin' off your clothes for me
I been literally curvin' all these hoes for you
Daddy told you, better bring your ass home
Cinderella better get your ass home
Man I swear the parents just don't understand
You ain't gotta be old to be a man
Take my hand, come with me to my room
Girl I got a suite at the SLS
I already know you got expensive taste
Take my hand, follow me to my room
Tell your little friends you gon' be alright
Girl I got a plan for the whole night
Okay your legs like a store they open up
And you got people in the aisle
Been here every night for weeks at a time
You in my dreams that's why I sleep all the time
Just to hear you say I love you, just to touch you
Just to leave you behind
I told you, you don't have to worry, you'll be fine
This the type of thing I heard it happen all the time
Yeah, I just wanna see you fly
Because your fragrance got me faded, you be keepin' me high
Said nothin' better than the first time
I'll be at your service like the check-in at the curbside
You don't have to spend another second on this Earth dry
Wet you like a fresh beau coop, second and a third time
Left you up a verse mind
And when you hungry I can chef you up some stir fry
Get you some dessert wine, elevate this third eye
First prize, Nobel, get a piece
Your clothes off, turn around, let me see
I been waitin' all night for this moment
I been waitin' all year for this moment
I been picturing you takin' off your clothes for me
I been literally curvin' all these hoes for you
Daddy told you, better bring your ass home
Cinderella better get your ass home
Man I swear the parents just don't understand
You ain't gotta be old to be a man
Take my hand, come with me to my room
Girl I got a suite at the SLS
I already know you got expensive taste
Take my hand, follow me to my room
Tell your little friends you gon' be alright
Girl I got a plan for the whole night
Yeah, okay I came up where the planet was
Take you by the hand
And bring you somewhere where the sand is
Two knives, we landed
We went straight into the room
And played the music and started dancing
You was taking off your pants
It look like Dorothy ain't in Kansas anymore
I do you like a chore
We started on the bed and then we moved onto the floor
You started getting crazy, told me fuck you like a whore
I thought you was an angel now you yellin' to the Lord
You used to tell me all the time I ain't your type
Now you always wanna spend the night
Now I'm doing everything you like
When I'm inside your pussy, damn it feels so right
Yeah, but I still respect the game
Every time I'm out of line you always set me straight
The sex is great, for heavens sake I need it every day
I yell your name, Cinderella
Never gonna find nobody better
All my life...
I been waitin' all night for this moment
I been waitin' all year for this moment
I been picturing you takin' off your clothes for me
I been literally curvin' all these hoes for you
Daddy told you, better bring your ass home
Cinderella better get your ass home
Man I swear the parents just don't understand
You ain't gotta be old to be a man
Take my hand, come with me to my room
Girl I got a suite at the SLS
I already know you got expensive taste
Take my hand, follow me to my room
Tell your little friends you gon' be alright
Girl I got a plan for the whole night
Hey now, I'm saying
My only way out is the way in
I won't stop 'til you're mine, no way
Well all my days now, they changin'
I got angels, no more Satan
Looks like God's on my side, this time
Well, I been meanin' to tell you
You lookin' better every day
Write you letters
It's only right that right after love, I write my name
If it's forever or never it's all the same
Under the weather
Feel much better when that weather isn't rain, yeah
Ooh Cinderella, don't you run out of time
It feels like you've been taking all day
Wherever you came from, wherever you going
I promise I'm not far behind, yeah
So don't you dare throw this away
I been meanin' to tell you
You lookin' better every day
Write you letters
It's only right that right after love, I write my name
If it's forever or never it's all the same
Under the weather
Feel much better when that weather isn't rain",480186
Planet God Damn (feat. Njomza),The Divine Feminine,0.431,0.491,0.641,-12.87,173.147,2016,"Yeah, I think I'm stuck inside nostalgia
Reminded of the times when this love was so divine
But now it's feelin' like without ya
Feelin' like how the fuck did
We get into a place we ain't accustomed to lovin' inside of
I know I'm out of my mind more often than not
You know I'm used to givin' this all that I got, yeah
It's not a waste when that smile on your face
You tell me you are the place, you parked in my spot
Okay, baby with this piece of cake
We could lay up on the beach, you could feed me grapes
It's my favorite song, spin it till the needle breaks
We could quit the whole game, do the real estate
Things how you beat the case
Put in work, turn that pussy to the office
Be on top of your game cause you're a goddess
Now I ain't here to break a promise
I'm just tryna keep it honest, and honestly
Tell the truth, tell the truth, tell truth
Na-na-na-na-na-na
Show me you, show me you, show me you
Na-na-na-na-na-na
Tell the truth, tell the truth, tell the truth
Na-na-na-na-na-na
Show me you, show me you, show me you
Na-na-na-na-na-na
Okay, no mishaps, this, that, and the third
Don't go back on my word, yeah I keep that shit gift wrapped
Your pussy a ride better than Six Flags, I'm in that
No take aways, no give backs
No question, we've been through adolesence
And change of direction, yeah I paid attention to it
It's never been easy but now it's gettin' ruthless
A little more pain, that's just better music
Girl what's on your brain? Cause that head is stupid
Lotta people suck a dick, but you can execute it
Perfect timing, don't you ever add another second to it
Don't you ever-ever-ever-ever-ever do it
Yeah, head pollution, conflict resolution
Keep it true, everything that I do with you
I ain't here to break a promise
I'm just tryna keep it honest, and honestly
Tell the truth, tell the truth, tell truth
Na-na-na-na-na-na
Show me you, show me you, show me you
Na-na-na-na-na-na
Tell the truth, tell the truth, tell the truth
Na-na-na-na-na-na
Show me you, show me you, show me you
Na-na-na-na-na-na
You don't have to protect me
We both know how it ends
I just need your presence
Wanna feel you feel me
(You just landed from the Planet God damn)
Wanna feel you feel me
Wanna feel you feel me
(You just landed from the Planet God damn)
Wanna feel you feel me
Wanna feel you feel me",191746
Soulmate,The Divine Feminine,0.561,0.534,0.512,-6.904,111.044,2016,"Do you feel like you're alone, Will?
You have a soulmate?
Somebody who challenges you
I'm talking about someone who opens up things for you, touches your soul
You can't give back to them, you know
You'll never have that kind of relationship in a world where
You're always afraid to take the first step
Because all you see is every negative thing ten miles down the road
But you can do anything you want, you are bound by nothing
Yeah, are you my soulmate? My angel?
What do you want with me?
Too high (too high), slow pace (slow pace)
My eyes closed, your body all I see
I think you're too divine for my human mind
When I'm with you, what do you do? Bring me to life
No matter what, one day everyone dies
You think you are God 'til you run out of time
Yeah, said, when you're gone, what will you leave behind?
Yeah, do I belong sometime soon? Where goes my mind?
You're the one to show me divine love (love), love (love), love (love), love
Where was you when I was lonely, my divine love (love), love (love), love (love), love?
When the stereo plays our songs, sounds so clear
Baby, where'd you go? What's so wrong?
I'm right here
Yeah, why do you stay on my case?
I try to make you feel okay
Do you know (you know), I'm in pain?
I give you clues, you misconstrued
You continue to push me far away
Why don't you come on in?
It's like you forgot my face
I just wanna taste of everything you're made of
We ain't (nothing)
Cut the strings, my balloon, watch me fly
Yeah, said, when are you coming through to free my mind?
Are you happy with your life?
Can I come and satisfy? Open up, let me inside
When you take off all your clothes, I'm under your control
Rollin' up, you get me high (alright)
You the one to show me divine love, love, love, love
Where was you when I was lonely, my divine love, love, love, love?
When the stereo plays our songs, sounds so clear
Baby, where'd you go? What's so wrong?
I'm right here",272973
We (feat. CeeLo Green),The Divine Feminine,0.601,0.637,0.0579,-9.43,138.869,2016,"Yeah, well you can be my
Said you can be my
Yeah, you can be my
Yeah, okay, well you can be my
Baby you can be my
Baby you can be my
Well okay, it's alright, it's okay
Okay, well you can be my...
Well okay, it's alright, it's okay
You can be my...
Yeah, well okay, it's alright, it's okay
Said you can be my...
Well okay, it's alright, it's okay
Said you could be my...
Well, you ain't in the mood to argue
Baby don't you worry, this some shit to get along to
Some shit I right my wrongs to
Well, I've tried to call you, have us a discussion
We never talk, we always way too busy fuckin'
I'll think of something to say, I always do
I'm in love with the way that you say my name
Every time it sound brand new
And you, always wonderin' what we'll be
I say we sound better than you or me
Baby you could be my... (woo!)
Well okay, it's alright, it's okay
Yeah, I feel like you can be my...
Well okay, it's alright, it's okay
And I can be your...
Well okay, it's alright, it's okay
Only if you be my...
It's alright, it's okay
Yeah, okay, and time will tell
If I'm alive and well, cause when I'm by myself
I find that I keep flying high, sometimes I must remind myself
That change is more than pennies laying on the floor inside the well
You cross my mind, do not apologize for being fine as hell
I'm spinning here inside your spell, my mind has start to wander
I missed a day, I stay up late admiring your posture
And you, always wonderin' what we'll be
I say we sound better than you or me
Baby you could be my...
Yeah, well okay, it's alright, it's okay
And baby you can be my...
Well okay, it's alright, it's okay
And I can be your...
Well okay, it's alright, it's okay
Yeah, only if you be my...
There's no more you or me, me or we, sweetheart
Just be your sweet babe
And I can see, I can see, so much better
I can see
I'm carefully, precious things fall apart
Just let them be, let it be, forever
Oh, loving me, in spite of me
Bless your heart, bless your heart
I can breathe, I can breathe so much better, yeah
I won't let anything tear us apart, no, no, no
We are we, we are we, forever
You can be my...
Well okay, it's alright, it's okay
Yeah, I feel like you can be my...
Well okay, it's alright, it's okay
And I can be your...
Well okay, it's alright, it's okay
Only if you be my...
It's alright, it's okay
You gotta deal with Mac Miller, bitch
Hehehehahah",319272
My Favorite Part,The Divine Feminine,0.718,0.33,0.0526,-7.194,95.016,2016,"Don't know why thinking of him makes me smile...
Said, you just don't know how beautiful you are
And baby that's my favorite part
You walk around so clueless to it all
Like nobody gonna break your heart
It'll be alright babe, see, me, I got you covered
I'm gon' be your lover, you might be the one
If it's only tonight, ayy, we don't need to worry
We ain't in a hurry, rushin' into love
Said, you know I know who you really are, ain't need to lie
Said, the universe couldn't keep us apart
Why would it even try?
Yeah, said, don't let them hurt you ever
I know you far too smart
Before things come together, they have to fall apart
It's been a while since I've been sober
This life can be so hard, I'd rather talk about you
Said, you just don't know how beautiful you are
And baby that's my favorite part
You walk around so clueless to it all
Like nobody gonna break your heart
It'll be alright babe, see, me, I got you covered
I'm gon' be your lover, you might be the one
If it's only tonight, ayy, we don't need to worry
We ain't in a hurry, rushin' into love
If you wanna stay, we're taking it slow baby
Cause you and me, and I got enough on my mind
But I can make time for something so divine
Said, you just don't know how beautiful you are
And baby that's my favorite part
You walk around so clueless to it all
Like nobody gonna break your heart
It'll be alright babe, see, me, I got you covered
I'm gon' be your lover, you might be the one
If it's only tonight, ayy, we don't need to worry
We ain't in a hurry, rushin' into love",216000
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",The Divine Feminine,0.136,0.41,0.185,-12.028,95.931,2016,"Open your legs
Say yeah, share, say yeah, share, say yeah
Heart to my dying light, bullet to your rose
Then I want you better fold
Don't you know your body been mine?
I know you know I know
Sexy, nasty, have no guideline
One day, four times
You don't mind that I don't care (pleasure, pleasure)
Your divinity has turned me into a sinner
God is fair (pleasure, pleasure)
And your beauty can even make hell have a winter
Yeah and a freak mind is divine so we fuck from behind
On these sides, between thighs, I eat up
Wanted, wanted, wanted to trust myself
Tried to give her up but she fuck so well
Man that bitch so cold, man that bitch so cold
I'ma take my time, I'ma hit that slow
'Cause I ain't in a rush young girl
You're the only thing for me in this fucked up world
And do you believe in love?
Hold on tight when demons come
It'll be alright, no need to run
Stay with me tonight, we'll see the sun
And when we wake up early we'll still be drunk
Never felt this free before
I need you more than keys and doors
I need you sleepin' next to me
The blanket sheets, I'll take them all and keep you warm
Yeah and I teach her that we were the preachers of love
You be the leader, I could be Julius Caesar
When I'm pullin' up in the Beamer, the beats in the trunk
All the freaks wanna fuck
Heart to my dying light, bullet to your rose
Then I want you better fold
Don't you know your body been mine?
I know you know I know
Sexy, nasty (sexy, nasty) have no guideline (have no guideline)
One day, four times
You don't mind that I don't care (pleasure, pleasure)
God is fair (pleasure, pleasure)
I need to feel your touch
You shy, you don't reveal too much
No lies, don't hide yourself at all
Where's your, I just can't help but fold
It's true, and I tried everything
Girl you're, my sexy nasty, thing
She been getting faded all the time, flap your wings
I been getting stoned all week
It make me go too deep
Girl you so lonely, will you come home with me?
Just take your clothes off babe
Know that we been talkin' on the phone all day
I love it when you tell me that you don't behave
Tell me when and where, I bet I won't be late
All I really wanna do is procreate
I'm a superman, you be my Louis Lane
Know you late for work, you stayin' home today
We gon' keep on goin' 'til our bones both break
It's the grown folk way
Heart to my dying light, bullet to your rose
Then I want you better fold
Don't you know your body been mine?
I know you know I know
Sexy, nasty (sexy, nasty) have no guideline (have no guideline)
One day, four times
You don't mind that I don't care
God is fair
Hello I would like to tell you about my love affair
With my husband and the wonderful ways that we were able to understand each other
And find out about each other
We got to know each other little by little living very close in the same building
And he would help me with things and I would see him and think ""what a cute guy""
And he was a cute guy
And it was just little by little we got to know
Just to say hello
One day I invited him to a party and I had heard so much about him
People respected him, and he was good to everybody
He knew people he worked with all adored him
And it was something so important, the respect that you have for somebody
For me was the most important
Being attracted to him and being, finding people respected him and I respected him
I love the fact that he sensed how my feelings were
And I learned to understand and respect
And see his feelings and understand his feelings ahead of time
So it was so very easy to be together and look forward to being together
And our love affair just blossomed the more we saw each other
And the more we were together, we learned more and more about each other
After a short period of time we became engaged and had a very small intimate wedding
With just family and very close friends
The friends we continued to have for the rest of our life and then came two adorable little boys
And, my husband just adored my daughter and adored the two boys
And I feel I just gave him a wonderful life
A good marriage and a wonderful family and I know he really had a beautiful life and I did too
And how important it is to love, respect and care for each other",500960
Doors,GO:OD AM,0.221,0.177,0.0392,-15.09,134.115,2015,"You know it's been a minute since I been awake
Didn't mean to cause you pain, I just needed to escape
They saying that I'm sober, I'm just in a better place
I'm on my way over, I'm just running kind of late
And you know I've been through all the highs
I've seen all the lows
Lost track of time, I'm coming home
You know my mind, the places it goes
When it goes, when it goes
It's only a game, don't be afraid
These doors will close, and people change
One day you'll go, right now you're here
No please just hear, don't disappear
Good Morning, Baby",256426
Brand Name,GO:OD AM,0.398,0.71,0.0805,-5.158,148.385,2015,"We in between heaven and hell
Fuck your nine to five, I'd rather end up either dead or in jail
American ninja to these obstacles
No stoppin' me, we on the move
Your mouth runnin' like a prostitute's
Keep your head to yourself
I work harder than anybody you know
I'm done with tricks, don't need no money to blow
Deadly aim, self contained
Superstar, they yell the name
Blood diamonds, finna go to hell for my chain
The P fitted on my head though
I'm too high, you can't reach me with the cell phone
No goodbyes, no hellos
You don't want this life I live
You'd rather have the wife and kid
Shootin' dice with Jesus Christ, put 20 on the midnight
To everyone to sell me drugs
Don't mix it with that bullshit I hopin' not to join the twenty seven club
Just want the coke dealer house with the velvet rug
Fuck the world there's no one else but us
Everything we think we love
It ain't nothing but a brand name
To everyone but us
Ain't nothing but a brand name, nothing but a brand name
Ask her what she wearing, say it's nothing but a brand name
Baby, this right here is hand made
I got brothers I don't need no friends
My shoes off I'm comfortable, I'm chillin' smokin' weed again
I'm from the berg not the burbs
Investigating my nation, homie we ain't concerned
We're from the 412 out to the 310
We're from the pavement in my basement to 'em yellow brick roads
See, I was on my Ps & Qs like L-M-N-O
But kickin' bitches out my crib, somebody tell 'em to go home, I don't know
I was in the crib with my different shit
Simple livin', I'm a hypocrite
'Cause I'm filthy rich, I got business
Been had wifey's, have mistresses
Been tryna tell you what my vision is, but y'all still ain't listening
The war they winnin', it's just beginnin'
And I've been 'bout Sparta like Michigan
I got stats, they got opinions, I got facts
The bro left home, but he came back
This what raised me, made me rap
PA's baby, I ain't been to PA lately
See, I left and they call me shady
I'm a white rapper, they always call me shady
Got no idea what I'm contemplatin', I guess
It ain't nothing but a brand name
To everyone but us
It ain't nothing but a brand name, nothing but a brand name
Ask her what she wearing, say it's nothing but a brand name
Baby, this right here is hand made
Everyday we love, love
Good morning (La, la, la, la)
Good morning
And everyone but us, us
Good morning (La, la, la, la)
Good morning
Yeah",305400
Rush Hour,GO:OD AM,0.304,0.472,0.265,-5.375,163.817,2015,"I give a fuck less and less everyday
The more you give a fuck, I guess the less you make (Money)
Homie we just out here tryna elevate
Heaven is a crime scene, stand behind the yellow tape
I started making money in eleventh grade
Soon as I learned that the more you do, the less you wait
Got a bigger crib, always use the extra space
Shit was so different in 2008
Growing pains, fill the open veins with Novocain
Relapse, I eat that, I don't complain
I'm just rambling
You want war, this N64 Blitz champion (Sucker)
Out of space channeling, brain damaging
Heavy rain game cancelling, proud to be American
They tell me ""Get yourself straight
How much more money can you make?""
I'm just tryna grow up old and rich
Maybe get married to a local bitch
I be, I be, I be, I be over shit
The world don't give a fuck about your loneliness
I'm just tryna grow up old and rich
The world don't give a fuck about your loneliness
I be, I be, I be, I be over shit
The world don't give a fuck about your loneliness
I'm a deranged motherfucker, took too many uppers
Now it's Rush Hour, Jackie Chan, Chris Tucker
I stuck around the past six summers
Karma is a bitch and that bitch don't love ya
We was in the attic you could smell the weed
Bitches getting naked, we was selling E
Bitches kissing bitches just like Ellen D
In the kitchen whipping biscuits, giving generously
I thank the lord I made it out, no STD
Lost a few too many brain cells, I'm special needs
They tell me ""Get yourself straight
How much more money can you make?""
I'm just tryna grow up old and rich
Maybe get married to a local bitch
I be, I be, I be, I be over shit
The world don't give a fuck about your loneliness
I'm just tryna grow up old and rich
The world don't give a fuck about your loneliness
I be, I be, I be, I be over shit
The world don't give a fuck about your loneliness
Ladies and gentlemen in attendance, good morning
It's the baby face don dada checking in
And I want you to know
It ain't about complaining, it's about maintaining
You know what I'm talking about
Don't ever become content, because you will repent
You feel that, go get it
That's your life, go live it
Pass me Hennessy and my Grand Marnier
If you will",326426
